Factura,Producto,Cantidad
I000233,Producto 5,9
I000234,Producto 1,10
I000234,Producto 2,3
I000234,Producto 3,8
I000234,Producto 4,9
I000234,Producto 5,9
I000235,Producto 1,22
I000235,Producto 2,4
I000235,Producto 3,6
I000235,Producto 4,12
I000235,Producto 5,12
I000236,Producto 1,17
I000236,Producto 2,3
I000236,Producto 3,7
I000236,Producto 4,17
I000236,Producto 5,8
I000237,Producto 1,18
I000237,Producto 2,5
I000237,Producto 3,11
I000237,Producto 4,9
I000237,Producto 5,17
I000238,Producto 1,20
I000238,Producto 2,7
I000238,Producto 3,8
I000238,Producto 4,12
I000238,Producto 5,7
I000239,Producto 1,22
I000239,Producto 2,3
I000239,Producto 3,5
I000239,Producto 4,14
I000239,Producto 5,11
I000240,Producto 1,19
I000240,Producto 2,4
I000240,Producto 3,11
I000240,Producto 4,14
I000240,Producto 5,11
I000241,Producto 1,18
I000241,Producto 2,4
I000241,Producto 3,8
I000241,Producto 4,11
I000241,Producto 5,13
I000242,Producto 1,11
I000242,Producto 2,6
I000242,Producto 3,9
I000242,Producto 4,11
I000242,Producto 5,8
I000243,Producto 1,16
I000243,Producto 2,0
I000243,Producto 3,6
I000243,Producto 4,17
I000243,Producto 5,8
I000244,Producto 1,13
I000244,Producto 2,8
I000244,Producto 3,7
I000244,Producto 4,7
I000244,Producto 5,10
I000245,Producto 1,17
I000245,Producto 2,4
I000245,Producto 3,4
I000245,Producto 4,12
I000245,Producto 5,10
I000246,Producto 1,17
I000246,Producto 2,4
I000246,Producto 3,8
I000246,Producto 4,16
I000246,Producto 5,10
I000247,Producto 1,12
I000247,Producto 2,4
I000247,Producto 3,9
I000247,Producto 4,12
I000247,Producto 5,11
I000248,Producto 1,14
I000248,Producto 2,5
I000248,Producto 3,11
I000248,Producto 4,14
I000248,Producto 5,19
I000249,Producto 1,17
I000249,Producto 2,5
I000249,Producto 3,6
I000249,Producto 4,8
I000249,Producto 5,13
I000250,Producto 1,16
I000250,Producto 2,8
I000250,Producto 3,6
I000250,Producto 4,13
I000250,Producto 5,14
I000251,Producto 1,18
I000251,Producto 2,4
I000251,Producto 3,11
I000251,Producto 4,20
I000251,Producto 5,11
I000252,Producto 1,12
I000252,Producto 2,7
I000252,Producto 3,4
I000252,Producto 4,14
I000252,Producto 5,9
I000253,Producto 1,17
I000253,Producto 2,5
I000253,Producto 3,12
I000253,Producto 4,14
I000253,Producto 5,11
I000254,Producto 1,13
I000254,Producto 2,5
I000254,Producto 3,2
I000254,Producto 4,12
I000254,Producto 5,8
I000255,Producto 1,15
I000255,Producto 2,5
I000255,Producto 3,6
I000255,Producto 4,15
I000255,Producto 5,13
I000256,Producto 1,17
I000256,Producto 2,5
I000256,Producto 3,4
I000256,Producto 4,11
I000256,Producto 5,9
I000257,Producto 1,16
I000257,Producto 2,7
I000257,Producto 3,9
I000257,Producto 4,16
I000257,Producto 5,10
I000258,Producto 1,15
I000258,Producto 2,3
I000258,Producto 3,10
I000258,Producto 4,13
I000258,Producto 5,16
I000259,Producto 1,13
I000259,Producto 2,3
I000259,Producto 3,8
I000259,Producto 4,8
I000259,Producto 5,2
I000260,Producto 1,22
I000260,Producto 2,7
I000260,Producto 3,12
I000260,Producto 4,11
I000260,Producto 5,10
I000261,Producto 1,20
I000261,Producto 2,4
I000261,Producto 3,14
I000261,Producto 4,13
I000261,Producto 5,11
I000262,Producto 1,12
I000262,Producto 2,7
I000262,Producto 3,10
I000262,Producto 4,7
I000262,Producto 5,16
I000263,Producto 1,25
I000263,Producto 2,6
I000263,Producto 3,13
I000263,Producto 4,12
I000263,Producto 5,16
I000264,Producto 1,16
I000264,Producto 2,7
I000264,Producto 3,8
I000264,Producto 4,16
I000264,Producto 5,7
I000265,Producto 1,13
I000265,Producto 2,4
I000265,Producto 3,15
I000265,Producto 4,17
I000265,Producto 5,11
I000266,Producto 1,12
I000266,Producto 2,8
I000266,Producto 3,11
I000266,Producto 4,12
I000266,Producto 5,7
I000267,Producto 1,23
I000267,Producto 2,7
I000267,Producto 3,7
I000267,Producto 4,18
I000267,Producto 5,13
I000268,Producto 1,17
I000268,Producto 2,6
I000268,Producto 3,9
I000268,Producto 4,12
I000268,Producto 5,16
I000269,Producto 1,18
I000269,Producto 2,2
I000269,Producto 3,5
I000269,Producto 4,8
I000269,Producto 5,15
I000270,Producto 1,12
I000270,Producto 2,6
I000270,Producto 3,10
I000270,Producto 4,12
I000270,Producto 5,10
I000271,Producto 1,13
I000271,Producto 2,3
I000271,Producto 3,5
I000271,Producto 4,14
I000271,Producto 5,11
I000272,Producto 1,12
I000272,Producto 2,4
I000272,Producto 3,4
I000272,Producto 4,22
I000272,Producto 5,13
I000273,Producto 1,21
I000273,Producto 2,11
I000273,Producto 3,8
I000273,Producto 4,9
I000273,Producto 5,12
I000274,Producto 1,16
I000274,Producto 2,4
I000274,Producto 3,5
I000274,Producto 4,12
I000274,Producto 5,13
I000275,Producto 1,21
I000275,Producto 2,11
I000275,Producto 3,12
I000275,Producto 4,14
I000275,Producto 5,19
I000276,Producto 1,19
I000276,Producto 2,10
I000276,Producto 3,9
I000276,Producto 4,12
I000276,Producto 5,12
I000277,Producto 1,7
I000277,Producto 2,5
I000277,Producto 3,8
I000277,Producto 4,12
I000277,Producto 5,12
I000278,Producto 1,10
I000278,Producto 2,9
I000278,Producto 3,10
I000278,Producto 4,13
I000278,Producto 5,15
I000279,Producto 1,8
I000279,Producto 2,3
I000279,Producto 3,5
I000279,Producto 4,13
I000279,Producto 5,12
I000280,Producto 1,14
I000280,Producto 2,5
I000280,Producto 3,10
I000280,Producto 4,18
I000280,Producto 5,9
I000281,Producto 1,14
I000281,Producto 2,5
I000281,Producto 3,9
I000281,Producto 4,15
I000281,Producto 5,13
I000282,Producto 1,19
I000282,Producto 2,2
I000282,Producto 3,8
I000282,Producto 4,12
I000282,Producto 5,15
I000283,Producto 1,19
I000283,Producto 2,5
I000283,Producto 3,5
I000283,Producto 4,13
I000283,Producto 5,6
I000284,Producto 1,10
I000284,Producto 2,3
I000284,Producto 3,8
I000284,Producto 4,12
I000284,Producto 5,7
I000285,Producto 1,11
I000285,Producto 2,3
I000285,Producto 3,9
I000285,Producto 4,7
I000285,Producto 5,14
I000286,Producto 1,15
I000286,Producto 2,8
I000286,Producto 3,7
I000286,Producto 4,13
I000286,Producto 5,11
I000287,Producto 1,10
I000287,Producto 2,8
I000287,Producto 3,5
I000287,Producto 4,8
I000287,Producto 5,13
I000288,Producto 1,17
I000288,Producto 2,5
I000288,Producto 3,8
I000288,Producto 4,13
I000288,Producto 5,12
I000289,Producto 1,16
I000289,Producto 2,7
I000289,Producto 3,5
I000289,Producto 4,13
I000289,Producto 5,13
I000290,Producto 1,15
I000290,Producto 2,1
I000290,Producto 3,10
I000290,Producto 4,13
I000290,Producto 5,12
I000291,Producto 1,13
I000291,Producto 2,1
I000291,Producto 3,11
I000291,Producto 4,13
I000291,Producto 5,13
I000292,Producto 1,9
I000292,Producto 2,11
I000292,Producto 3,6
I000292,Producto 4,10
I000292,Producto 5,18
I000293,Producto 1,14
I000293,Producto 2,0
I000293,Producto 3,6
I000293,Producto 4,10
I000293,Producto 5,8
I000294,Producto 1,11
I000294,Producto 2,5
I000294,Producto 3,9
I000294,Producto 4,13
I000294,Producto 5,11
I000295,Producto 1,10
I000295,Producto 2,8
I000295,Producto 3,9
I000295,Producto 4,11
I000295,Producto 5,9
I000296,Producto 1,14
I000296,Producto 2,10
I000296,Producto 3,8
I000296,Producto 4,15
I000296,Producto 5,8
I000297,Producto 1,14
I000297,Producto 2,4
I000297,Producto 3,6
I000297,Producto 4,13
I000297,Producto 5,9
I000298,Producto 1,15
I000298,Producto 2,7
I000298,Producto 3,12
I000298,Producto 4,8
I000298,Producto 5,12
I000299,Producto 1,16
I000299,Producto 2,5
I000299,Producto 3,6
I000299,Producto 4,18
I000299,Producto 5,11
I000300,Producto 1,11
I000300,Producto 2,7
I000300,Producto 3,12
I000300,Producto 4,14
I000300,Producto 5,8
I000301,Producto 1,15
I000301,Producto 2,11
I000301,Producto 3,7
I000301,Producto 4,9
I000301,Producto 5,13
I000302,Producto 1,15
I000302,Producto 2,5
I000302,Producto 3,9
I000302,Producto 4,11
I000302,Producto 5,11
I000303,Producto 1,9
I000303,Producto 2,2
I000303,Producto 3,11
I000303,Producto 4,16
I000303,Producto 5,10
I000304,Producto 1,23
I000304,Producto 2,5
I000304,Producto 3,7
I000304,Producto 4,15
I000304,Producto 5,20
I000305,Producto 1,12
I000305,Producto 2,4
I000305,Producto 3,12
I000305,Producto 4,8
I000305,Producto 5,11
I000306,Producto 1,21
I000306,Producto 2,5
I000306,Producto 3,2
I000306,Producto 4,18
I000306,Producto 5,12
I000307,Producto 1,16
I000307,Producto 2,5
I000307,Producto 3,12
I000307,Producto 4,11
I000307,Producto 5,17
I000308,Producto 1,16
I000308,Producto 2,5
I000308,Producto 3,7
I000308,Producto 4,14
I000308,Producto 5,12
I000309,Producto 1,21
I000309,Producto 2,5
I000309,Producto 3,14
I000309,Producto 4,6
I000309,Producto 5,13
I000310,Producto 1,13
I000310,Producto 2,4
I000310,Producto 3,5
I000310,Producto 4,16
I000310,Producto 5,12
I000311,Producto 1,16
I000311,Producto 2,6
I000311,Producto 3,10
I000311,Producto 4,12
I000311,Producto 5,5
I000312,Producto 1,15
I000312,Producto 2,4
I000312,Producto 3,14
I000312,Producto 4,17
I000312,Producto 5,7
I000313,Producto 1,13
I000313,Producto 2,4
I000313,Producto 3,5
I000313,Producto 4,8
I000313,Producto 5,16
I000314,Producto 1,18
I000314,Producto 2,5
I000314,Producto 3,4
I000314,Producto 4,15
I000314,Producto 5,6
I000315,Producto 1,15
I000315,Producto 2,2
I000315,Producto 3,6
I000315,Producto 4,17
I000315,Producto 5,12
I000316,Producto 1,16
I000316,Producto 2,6
I000316,Producto 3,6
I000316,Producto 4,15
I000316,Producto 5,13
I000317,Producto 1,17
I000317,Producto 2,3
I000317,Producto 3,7
I000317,Producto 4,17
I000317,Producto 5,16
I000318,Producto 1,5
I000318,Producto 2,7
I000318,Producto 3,8
I000318,Producto 4,14
I000318,Producto 5,12
I000319,Producto 1,14
I000319,Producto 2,11
I000319,Producto 3,4
I000319,Producto 4,12
I000319,Producto 5,14
I000320,Producto 1,9
I000320,Producto 2,5
I000320,Producto 3,12
I000320,Producto 4,14
I000320,Producto 5,11
I000321,Producto 1,21
I000321,Producto 2,3
I000321,Producto 3,15
I000321,Producto 4,16
I000321,Producto 5,5
I000322,Producto 1,12
I000322,Producto 2,2
I000322,Producto 3,12
I000322,Producto 4,8
I000322,Producto 5,11
I000323,Producto 1,12
I000323,Producto 2,5
I000323,Producto 3,8
I000323,Producto 4,13
I000323,Producto 5,18
I000324,Producto 1,13
I000324,Producto 2,3
I000324,Producto 3,9
I000324,Producto 4,11
I000324,Producto 5,10
I000325,Producto 1,11
I000325,Producto 2,4
I000325,Producto 3,9
I000325,Producto 4,13
I000325,Producto 5,6
I000326,Producto 1,16
I000326,Producto 2,6
I000326,Producto 3,9
I000326,Producto 4,10
I000326,Producto 5,10
I000327,Producto 1,13
I000327,Producto 2,6
I000327,Producto 3,1
I000327,Producto 4,12
I000327,Producto 5,11
I000328,Producto 1,16
I000328,Producto 2,12
I000328,Producto 3,8
I000328,Producto 4,17
I000328,Producto 5,8
I000329,Producto 1,15
I000329,Producto 2,5
I000329,Producto 3,6
I000329,Producto 4,17
I000329,Producto 5,10
I000330,Producto 1,12
I000330,Producto 2,1
I000330,Producto 3,6
I000330,Producto 4,8
I000330,Producto 5,19
I000331,Producto 1,10
I000331,Producto 2,8
I000331,Producto 3,10
I000331,Producto 4,11
I000331,Producto 5,10
I000332,Producto 1,14
I000332,Producto 2,6
I000332,Producto 3,6
I000332,Producto 4,11
I000332,Producto 5,12
I000333,Producto 1,11
I000333,Producto 2,8
I000333,Producto 3,10
I000333,Producto 4,15
I000333,Producto 5,13
I000334,Producto 1,12
I000334,Producto 2,4
I000334,Producto 3,5
I000334,Producto 4,14
I000334,Producto 5,12
I000335,Producto 1,11
I000335,Producto 2,4
I000335,Producto 3,7
I000335,Producto 4,12
I000335,Producto 5,10
I000336,Producto 1,19
I000336,Producto 2,4
I000336,Producto 3,8
I000336,Producto 4,17
I000336,Producto 5,14
I000337,Producto 1,21
I000337,Producto 2,6
I000337,Producto 3,6
I000337,Producto 4,12
I000337,Producto 5,7
I000338,Producto 1,15
I000338,Producto 2,3
I000338,Producto 3,9
I000338,Producto 4,10
I000338,Producto 5,11
I000339,Producto 1,13
I000339,Producto 2,2
I000339,Producto 3,10
I000339,Producto 4,18
I000339,Producto 5,5
I000340,Producto 1,10
I000340,Producto 2,10
I000340,Producto 3,5
I000340,Producto 4,17
I000340,Producto 5,16
I000341,Producto 1,18
I000341,Producto 2,7
I000341,Producto 3,7
I000341,Producto 4,17
I000341,Producto 5,11
I000342,Producto 1,15
I000342,Producto 2,1
I000342,Producto 3,8
I000342,Producto 4,18
I000342,Producto 5,18
I000343,Producto 1,16
I000343,Producto 2,4
I000343,Producto 3,12
I000343,Producto 4,13
I000343,Producto 5,12
I000344,Producto 1,17
I000344,Producto 2,7
I000344,Producto 3,7
I000344,Producto 4,14
I000344,Producto 5,11
I000345,Producto 1,11
I000345,Producto 2,2
I000345,Producto 3,5
I000345,Producto 4,11
I000345,Producto 5,14
I000346,Producto 1,21
I000346,Producto 2,5
I000346,Producto 3,7
I000346,Producto 4,9
I000346,Producto 5,8
I000347,Producto 1,15
I000347,Producto 2,3
I000347,Producto 3,8
I000347,Producto 4,14
I000347,Producto 5,12
I000348,Producto 1,17
I000348,Producto 2,6
I000348,Producto 3,5
I000348,Producto 4,10
I000348,Producto 5,8
I000349,Producto 1,16
I000349,Producto 2,8
I000349,Producto 3,7
I000349,Producto 4,13
I000349,Producto 5,10
I000350,Producto 1,11
I000350,Producto 2,6
I000350,Producto 3,7
I000350,Producto 4,17
I000350,Producto 5,13
I000351,Producto 1,14
I000351,Producto 2,1
I000351,Producto 3,7
I000351,Producto 4,14
I000351,Producto 5,8
I000352,Producto 1,11
I000352,Producto 2,5
I000352,Producto 3,12
I000352,Producto 4,9
I000352,Producto 5,11
I000353,Producto 1,17
I000353,Producto 2,1
I000353,Producto 3,7
I000353,Producto 4,14
I000353,Producto 5,13
I000354,Producto 1,21
I000354,Producto 2,5
I000354,Producto 3,13
I000354,Producto 4,13
I000354,Producto 5,18
I000355,Producto 1,14
I000355,Producto 2,6
I000355,Producto 3,10
I000355,Producto 4,12
I000355,Producto 5,16
I000356,Producto 1,13
I000356,Producto 2,7
I000356,Producto 3,7
I000356,Producto 4,11
I000356,Producto 5,7
I000357,Producto 1,13
I000357,Producto 2,5
I000357,Producto 3,5
I000357,Producto 4,13
I000357,Producto 5,17
I000358,Producto 1,19
I000358,Producto 2,10
I000358,Producto 3,8
I000358,Producto 4,15
I000358,Producto 5,12
I000359,Producto 1,20
I000359,Producto 2,7
I000359,Producto 3,9
I000359,Producto 4,17
I000359,Producto 5,14
I000360,Producto 1,17
I000360,Producto 2,8
I000360,Producto 3,8
I000360,Producto 4,8
I000360,Producto 5,13
I000361,Producto 1,18
I000361,Producto 2,4
I000361,Producto 3,11
I000361,Producto 4,14
I000361,Producto 5,14
I000362,Producto 1,6
I000362,Producto 2,3
I000362,Producto 3,8
I000362,Producto 4,17
I000362,Producto 5,14
I000363,Producto 1,13
I000363,Producto 2,6
I000363,Producto 3,5
I000363,Producto 4,7
I000363,Producto 5,11
I000364,Producto 1,15
I000364,Producto 2,6
I000364,Producto 3,7
I000364,Producto 4,13
I000364,Producto 5,10
I000365,Producto 1,15
I000365,Producto 2,2
I000365,Producto 3,5
I000365,Producto 4,19
I000365,Producto 5,17
I000366,Producto 1,21
I000366,Producto 2,8
I000366,Producto 3,6
I000366,Producto 4,13
I000366,Producto 5,7
I000367,Producto 1,13
I000367,Producto 2,3
I000367,Producto 3,4
I000367,Producto 4,6
I000367,Producto 5,9
I000368,Producto 1,18
I000368,Producto 2,4
I000368,Producto 3,8
I000368,Producto 4,10
I000368,Producto 5,11
I000369,Producto 1,13
I000369,Producto 2,7
I000369,Producto 3,7
I000369,Producto 4,10
I000369,Producto 5,17
I000370,Producto 1,14
I000370,Producto 2,3
I000370,Producto 3,8
I000370,Producto 4,9
I000370,Producto 5,13
I000371,Producto 1,12
I000371,Producto 2,4
I000371,Producto 3,12
I000371,Producto 4,18
I000371,Producto 5,9
I000372,Producto 1,14
I000372,Producto 2,5
I000372,Producto 3,8
I000372,Producto 4,8
I000372,Producto 5,14
I000373,Producto 1,20
I000373,Producto 2,7
I000373,Producto 3,11
I000373,Producto 4,11
I000373,Producto 5,7
I000374,Producto 1,12
I000374,Producto 2,6
I000374,Producto 3,11
I000374,Producto 4,10
I000374,Producto 5,14
I000375,Producto 1,17
I000375,Producto 2,5
I000375,Producto 3,5
I000375,Producto 4,10
I000375,Producto 5,14
I000376,Producto 1,18
I000376,Producto 2,6
I000376,Producto 3,6
I000376,Producto 4,11
I000376,Producto 5,9
I000377,Producto 1,21
I000377,Producto 2,6
I000377,Producto 3,7
I000377,Producto 4,9
I000377,Producto 5,8
I000378,Producto 1,15
I000378,Producto 2,8
I000378,Producto 3,7
I000378,Producto 4,11
I000378,Producto 5,8
I000379,Producto 1,13
I000379,Producto 2,5
I000379,Producto 3,9
I000379,Producto 4,15
I000379,Producto 5,12
I000380,Producto 1,13
I000380,Producto 2,6
I000380,Producto 3,9
I000380,Producto 4,21
I000380,Producto 5,12
I000381,Producto 1,20
I000381,Producto 2,3
I000381,Producto 3,11
I000381,Producto 4,9
I000381,Producto 5,5
I000382,Producto 1,19
I000382,Producto 2,8
I000382,Producto 3,5
I000382,Producto 4,15
I000382,Producto 5,12
I000383,Producto 1,15
I000383,Producto 2,4
I000383,Producto 3,6
I000383,Producto 4,12
I000383,Producto 5,15
I000384,Producto 1,17
I000384,Producto 2,4
I000384,Producto 3,5
I000384,Producto 4,9
I000384,Producto 5,13
I000385,Producto 1,16
I000385,Producto 2,6
I000385,Producto 3,6
I000385,Producto 4,12
I000385,Producto 5,11
I000386,Producto 1,18
I000386,Producto 2,4
I000386,Producto 3,6
I000386,Producto 4,13
I000386,Producto 5,10
I000387,Producto 1,15
I000387,Producto 2,10
I000387,Producto 3,7
I000387,Producto 4,14
I000387,Producto 5,11
I000388,Producto 1,20
I000388,Producto 2,3
I000388,Producto 3,2
I000388,Producto 4,17
I000388,Producto 5,10
I000389,Producto 1,10
I000389,Producto 2,4
I000389,Producto 3,11
I000389,Producto 4,16
I000389,Producto 5,16
I000390,Producto 1,11
I000390,Producto 2,7
I000390,Producto 3,8
I000390,Producto 4,8
I000390,Producto 5,13
I000391,Producto 1,15
I000391,Producto 2,4
I000391,Producto 3,8
I000391,Producto 4,10
I000391,Producto 5,10
I000392,Producto 1,20
I000392,Producto 2,6
I000392,Producto 3,14
I000392,Producto 4,8
I000392,Producto 5,11
I000393,Producto 1,17
I000393,Producto 2,5
I000393,Producto 3,6
I000393,Producto 4,10
I000393,Producto 5,19
I000394,Producto 1,18
I000394,Producto 2,3
I000394,Producto 3,12
I000394,Producto 4,9
I000394,Producto 5,13
I000395,Producto 1,12
I000395,Producto 2,7
I000395,Producto 3,12
I000395,Producto 4,5
I000395,Producto 5,14
I000396,Producto 1,10
I000396,Producto 2,3
I000396,Producto 3,5
I000396,Producto 4,19
I000396,Producto 5,14
I000397,Producto 1,21
I000397,Producto 2,3
I000397,Producto 3,13
I000397,Producto 4,15
I000397,Producto 5,9
I000398,Producto 1,16
I000398,Producto 2,2
I000398,Producto 3,4
I000398,Producto 4,11
I000398,Producto 5,12
I000399,Producto 1,19
I000399,Producto 2,8
I000399,Producto 3,7
I000399,Producto 4,8
I000399,Producto 5,12
I000400,Producto 1,16
I000400,Producto 2,4
I000400,Producto 3,10
I000400,Producto 4,15
I000400,Producto 5,14
I000401,Producto 1,17
I000401,Producto 2,4
I000401,Producto 3,5
I000401,Producto 4,15
I000401,Producto 5,17
I000402,Producto 1,10
I000402,Producto 2,2
I000402,Producto 3,2
I000402,Producto 4,19
I000402,Producto 5,11
I000403,Producto 1,14
I000403,Producto 2,5
I000403,Producto 3,12
I000403,Producto 4,20
I000403,Producto 5,16
I000404,Producto 1,19
I000404,Producto 2,12
I000404,Producto 3,7
I000404,Producto 4,16
I000404,Producto 5,7
I000405,Producto 1,29
I000405,Producto 2,2
I000405,Producto 3,7
I000405,Producto 4,13
I000405,Producto 5,5
I000406,Producto 1,17
I000406,Producto 2,6
I000406,Producto 3,15
I000406,Producto 4,11
I000406,Producto 5,12
I000407,Producto 1,22
I000407,Producto 2,4
I000407,Producto 3,9
I000407,Producto 4,10
I000407,Producto 5,12
I000408,Producto 1,17
I000408,Producto 2,5
I000408,Producto 3,4
I000408,Producto 4,14
I000408,Producto 5,12
I000409,Producto 1,18
I000409,Producto 2,2
I000409,Producto 3,7
I000409,Producto 4,14
I000409,Producto 5,12
I000410,Producto 1,17
I000410,Producto 2,2
I000410,Producto 3,9
I000410,Producto 4,10
I000410,Producto 5,12
I000411,Producto 1,25
I000411,Producto 2,3
I000411,Producto 3,10
I000411,Producto 4,11
I000411,Producto 5,10
I000412,Producto 1,18
I000412,Producto 2,7
I000412,Producto 3,15
I000412,Producto 4,14
I000412,Producto 5,13
I000413,Producto 1,14
I000413,Producto 2,3
I000413,Producto 3,11
I000413,Producto 4,18
I000413,Producto 5,8
I000414,Producto 1,13
I000414,Producto 2,4
I000414,Producto 3,5
I000414,Producto 4,11
I000414,Producto 5,10
I000415,Producto 1,14
I000415,Producto 2,8
I000415,Producto 3,2
I000415,Producto 4,14
I000415,Producto 5,12
I000416,Producto 1,9
I000416,Producto 2,3
I000416,Producto 3,6
I000416,Producto 4,10
I000416,Producto 5,12
I000417,Producto 1,15
I000417,Producto 2,5
I000417,Producto 3,6
I000417,Producto 4,8
I000417,Producto 5,14
I000418,Producto 1,14
I000418,Producto 2,3
I000418,Producto 3,10
I000418,Producto 4,12
I000418,Producto 5,7
I000419,Producto 1,19
I000419,Producto 2,10
I000419,Producto 3,8
I000419,Producto 4,15
I000419,Producto 5,9
I000420,Producto 1,19
I000420,Producto 2,4
I000420,Producto 3,3
I000420,Producto 4,18
I000420,Producto 5,22
I000421,Producto 1,20
I000421,Producto 2,7
I000421,Producto 3,9
I000421,Producto 4,8
I000421,Producto 5,13
I000422,Producto 1,17
I000422,Producto 2,2
I000422,Producto 3,6
I000422,Producto 4,15
I000422,Producto 5,8
I000423,Producto 1,13
I000423,Producto 2,4
I000423,Producto 3,4
I000423,Producto 4,19
I000423,Producto 5,10
I000424,Producto 1,16
I000424,Producto 2,4
I000424,Producto 3,7
I000424,Producto 4,16
I000424,Producto 5,14
I000425,Producto 1,22
I000425,Producto 2,7
I000425,Producto 3,8
I000425,Producto 4,15
I000425,Producto 5,11
I000426,Producto 1,14
I000426,Producto 2,4
I000426,Producto 3,10
I000426,Producto 4,11
I000426,Producto 5,14
I000427,Producto 1,12
I000427,Producto 2,2
I000427,Producto 3,3
I000427,Producto 4,11
I000427,Producto 5,14
I000428,Producto 1,13
I000428,Producto 2,3
I000428,Producto 3,9
I000428,Producto 4,5
I000428,Producto 5,12
I000429,Producto 1,18
I000429,Producto 2,4
I000429,Producto 3,7
I000429,Producto 4,12
I000429,Producto 5,11
I000430,Producto 1,14
I000430,Producto 2,9
I000430,Producto 3,12
I000430,Producto 4,16
I000430,Producto 5,19
I000431,Producto 1,15
I000431,Producto 2,4
I000431,Producto 3,9
I000431,Producto 4,16
I000431,Producto 5,13
I000432,Producto 1,13
I000432,Producto 2,6
I000432,Producto 3,9
I000432,Producto 4,13
I000432,Producto 5,11
I000433,Producto 1,8
I000433,Producto 2,6
I000433,Producto 3,13
I000433,Producto 4,13
I000433,Producto 5,19
I000434,Producto 1,14
I000434,Producto 2,3
I000434,Producto 3,11
I000434,Producto 4,8
I000434,Producto 5,11
I000435,Producto 1,14
I000435,Producto 2,2
I000435,Producto 3,10
I000435,Producto 4,23
I000435,Producto 5,12
I000436,Producto 1,15
I000436,Producto 2,11
I000436,Producto 3,12
I000436,Producto 4,11
I000436,Producto 5,12
I000437,Producto 1,17
I000437,Producto 2,6
I000437,Producto 3,6
I000437,Producto 4,10
I000437,Producto 5,13
I000438,Producto 1,14
I000438,Producto 2,6
I000438,Producto 3,5
I000438,Producto 4,10
I000438,Producto 5,9
I000439,Producto 1,14
I000439,Producto 2,7
I000439,Producto 3,9
I000439,Producto 4,10
I000439,Producto 5,15
I000440,Producto 1,14
I000440,Producto 2,3
I000440,Producto 3,12
I000440,Producto 4,13
I000440,Producto 5,9
I000441,Producto 1,11
I000441,Producto 2,6
I000441,Producto 3,6
I000441,Producto 4,7
I000441,Producto 5,6
I000442,Producto 1,14
I000442,Producto 2,5
I000442,Producto 3,5
I000442,Producto 4,9
I000442,Producto 5,10
I000443,Producto 1,13
I000443,Producto 2,5
I000443,Producto 3,16
I000443,Producto 4,8
I000443,Producto 5,7
I000444,Producto 1,20
I000444,Producto 2,2
I000444,Producto 3,8
I000444,Producto 4,16
I000444,Producto 5,19
I000445,Producto 1,18
I000445,Producto 2,7
I000445,Producto 3,9
I000445,Producto 4,12
I000445,Producto 5,13
I000446,Producto 1,18
I000446,Producto 2,3
I000446,Producto 3,10
I000446,Producto 4,12
I000446,Producto 5,13
I000447,Producto 1,13
I000447,Producto 2,1
I000447,Producto 3,14
I000447,Producto 4,11
I000447,Producto 5,13
I000448,Producto 1,23
I000448,Producto 2,7
I000448,Producto 3,8
I000448,Producto 4,10
I000448,Producto 5,14
I000449,Producto 1,13
I000449,Producto 2,4
I000449,Producto 3,9
I000449,Producto 4,16
I000449,Producto 5,6
I000450,Producto 1,14
I000450,Producto 2,4
I000450,Producto 3,11
I000450,Producto 4,12
I000450,Producto 5,6
I000451,Producto 1,16
I000451,Producto 2,1
I000451,Producto 3,7
I000451,Producto 4,8
I000451,Producto 5,10
I000452,Producto 1,16
I000452,Producto 2,4
I000452,Producto 3,7
I000452,Producto 4,9
I000452,Producto 5,9
I000453,Producto 1,9
I000453,Producto 2,6
I000453,Producto 3,11
I000453,Producto 4,13
I000453,Producto 5,11
I000454,Producto 1,18
I000454,Producto 2,4
I000454,Producto 3,9
I000454,Producto 4,9
I000454,Producto 5,17
I000455,Producto 1,20
I000455,Producto 2,4
I000455,Producto 3,7
I000455,Producto 4,11
I000455,Producto 5,14
I000456,Producto 1,9
I000456,Producto 2,2
I000456,Producto 3,13
I000456,Producto 4,10
I000456,Producto 5,11
I000457,Producto 1,22
I000457,Producto 2,3
I000457,Producto 3,10
I000457,Producto 4,9
I000457,Producto 5,12
I000458,Producto 1,13
I000458,Producto 2,4
I000458,Producto 3,6
I000458,Producto 4,10
I000458,Producto 5,7
I000459,Producto 1,11
I000459,Producto 2,6
I000459,Producto 3,2
I000459,Producto 4,10
I000459,Producto 5,9
I000460,Producto 1,18
I000460,Producto 2,5
I000460,Producto 3,12
I000460,Producto 4,6
I000460,Producto 5,13
I000461,Producto 1,15
I000461,Producto 2,5
I000461,Producto 3,9
I000461,Producto 4,17
I000461,Producto 5,15
I000462,Producto 1,26
I000462,Producto 2,5
I000462,Producto 3,9
I000462,Producto 4,21
I000462,Producto 5,20
I000463,Producto 1,13
I000463,Producto 2,8
I000463,Producto 3,9
I000463,Producto 4,17
I000463,Producto 5,10
I000464,Producto 1,13
I000464,Producto 2,9
I000464,Producto 3,7
I000464,Producto 4,10
I000464,Producto 5,17
I000465,Producto 1,12
I000465,Producto 2,7
I000465,Producto 3,15
I000465,Producto 4,18
I000465,Producto 5,7
I000466,Producto 1,12
I000466,Producto 2,5
I000466,Producto 3,7
I000466,Producto 4,14
